Park Name,Region,State,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,,,
Acadia NP,1,ME,"37,479.58","10,707.90",21.77,"48,209.25",48.22,813.93,862.15,"49,071.40",,,
Arches NP,7,UT,"76,545.95",0.00,0.00,"76,545.95",133.03,0.00,133.03,"76,678.98",,,
Badlands NP,5,SD,"111,485.13","122,324.00",0.00,"233,809.13",39.24,"8,907.57","8,946.81","242,755.94",,,
Big Bend NP,6,TX,"775,273.38",0.00,0.00,"775,273.38","2,606.87","23,282.96","25,889.83","801,163.21",,,
Biscayne NP,2,FL,"171,376.96",0.00,18.45,"171,395.41","1,215.85",359.85,"1,575.70","172,971.11",,,
Black Canyon of the Gunnison NP,7,CO,"29,828.28",880.05,21.87,"30,730.20",16.36,33.27,49.63,"30,779.83",,,
Bryce Canyon NP,7,UT,"35,832.58",0.00,0.00,"35,832.58",0.00,2.50,2.50,"35,835.08",,,
Canyonlands NP,7,UT,"337,269.40",301.03,0.00,"337,570.43",27.40,0.00,27.40,"337,597.83",,,
Capitol Reef NP,7,UT,"241,223.33",0.00,0.00,"241,223.33",681.17,0.00,681.17,"241,904.50",,,
Carlsbad Caverns NP,7,NM,"46,427.26",0.00,0.00,"46,427.26",0.00,339.19,339.19,"46,766.45",,,
Channel Islands NP,8,CA,"69,425.66",0.00,"9,592.96","79,018.62","124,554.15","45,988.23","170,542.38","249,561.00",,,
Congaree NP,2,SC,"26,600.96",0.00,0.00,"26,600.96",0.00,91.64,91.64,"26,692.60",,,
Crater Lake NP,"9, 10",OR,"183,223.77",0.00,0.00,"183,223.77",0.00,0.28,0.28,"183,224.05",,,
Cuyahoga Valley NP,3,OH,"19,259.12","1,453.68",0.00,"20,712.80","8,456.72","3,402.37","11,859.09","32,571.89",,,
Death Valley NP,"8, 10",CA-NV,"3,354,777.59",0.00,393.99,"3,355,171.58","44,270.68","8,953.37","53,224.05","3,408,395.63",,,
Denali NP,11,AK,"4,732,657.96",2.00,0.00,"4,732,659.96","5,663.00","2,588.20","8,251.20","4,740,911.16",,,
Dry Tortugas NP,2,FL,"61,481.22",0.00,0.00,"61,481.22","3,220.00",0.00,"3,220.00","64,701.22",,,
Everglades NP,2,FL 6/,"1,400,253.48",0.00,0.00,"1,400,253.48",0.00,285.82,285.82,"1,400,539.30",,,
Gates of the Arctic NP ,11,AK,"7,276,030.20","83,780.00",0.00,"7,359,810.20","1,292.00","162,795.25","164,087.25","7,523,897.45",,,
Gateway Arch NP,"3, 4",MO-IL,85.46,5.50,0.00,90.96,16.64,85.23,101.87,192.83,,,
Glacier Bay NP,11,AK,"3,222,434.78",0.00,0.00,"3,222,434.78",0.00,948.65,948.65,"3,223,383.43",,,
Glacier NP,"5, 9",MT,"1,012,843.03",54.65,0.00,"1,012,897.68",2.51,226.20,228.71,"1,013,126.39",,,
Grand Canyon NP,8,AZ,"1,180,650.85",0.00,0.00,"1,180,650.85","11,860.00","9,136.18","20,996.18","1,201,647.03",,,
Grand Teton NP,7,WY,"273,549.62",165.59,"34,984.62","308,699.83",496.60,847.93,"1,344.53","310,044.36",,,
Great Basin NP,10,NV,"77,180.00",0.00,0.00,"77,180.00",0.00,0.00,0.00,"77,180.00",,,
Great Sand Dunes NP ,7,CO,"104,050.10",0.00,0.00,"104,050.10",40.00,"3,255.63","3,295.63","107,345.73",,,
Great Smoky Mountains NP,2,TN-NC,"521,984.15",92.58,0.00,"522,076.73",0.00,350.15,350.15,"522,426.88",,,
Guadalupe Mountains NP,"6, 7",TX,"86,367.10",0.00,0.00,"86,367.10",0.00,0.00,0.00,"86,367.10",,,
Haleakala NP,12,HI,"33,480.65",0.00,0.00,"33,480.65",0.15,0.00,0.15,"33,480.80",,,
Hawaii Volcanoes NP,12,HI,"344,812.18",0.00,0.00,"344,812.18",0.00,0.00,0.00,"344,812.18",,,
Hot Springs NP,4,AR,"5,005.21",20.89,0.00,"5,026.10",315.17,212.88,528.05,"5,554.15",,,
Indiana Dunes NP,3,IN,"10,570.06",538.31,0.00,"11,108.37","3,412.17",828.54,"4,240.71","15,349.08",,,
Isle Royale NP,3,MI,"539,281.91",0.00,0.00,"539,281.91","32,508.39",0.00,"32,508.39","571,790.30",,,
Joshua Tree NP,8,CA,"781,908.85",0.00,0.00,"781,908.85","2,572.74","10,674.26","13,247.00","795,155.85",,,
Katmai NP,11,AK,"3,611,536.50",20.43,7.50,"3,611,564.43","50,172.00","12,792.90","62,964.90","3,674,529.33",,,
Kenai Fjords NP,11,AK,"603,129.86",0.00,0.00,"603,129.86","19,302.00","47,218.19","66,520.19","669,650.05",,,
Kings Canyon NP,10,CA,"461,846.05",0.00,0.00,"461,846.05",0.00,55.15,55.15,"461,901.20",,,
Kobuk Valley NP,11,AK,"1,714,573.41",5.00,0.00,"1,714,578.41",966.00,"35,171.75","36,137.75","1,750,716.16",,,
Lake Clark NP,11,AK,"2,481,440.51",0.00,0.00,"2,481,440.51","37,426.00","100,949.98","138,375.98","2,619,816.49",,,
Lassen Volcanic NP,10,CA,"106,505.38",0.00,0.00,"106,505.38",0.00,83.64,83.64,"106,589.02",,,
Mammoth Cave NP,1,KY,"52,007.62",0.00,0.00,"52,007.62",814.75,"1,193.92","2,008.67","54,016.29",,,
Mesa Verde NP,7,CO,"52,251.86",0.00,0.12,"52,251.98",41.01,192.18,233.19,"52,485.17",,,
Mount Rainier NP,9,WA,"236,334.67",0.00,0.00,"236,334.67",20.70,26.27,46.97,"236,381.64",,,
New River Gorge NP,1,WV,"53,900.91",164.21,0.00,"54,065.12","4,607.99","13,717.80","18,325.79","72,390.91",,,
North Cascades NP,9,WA,"504,654.18",0.00,0.00,"504,654.18",0.00,126.76,126.76,"504,780.94",,,
National Park of American Samoa,12,SAMOA,0.00,0.00,0.00,0.00,"8,256.67",0.00,"8,256.67","8,256.67",,,
Olympic NP,9,WA,"913,408.83",64.88,100.00,"913,573.71","8,749.28",326.42,"9,075.70","922,649.41",,,
Petrified Forest NP,8,AZ,"147,144.45",0.00,0.00,"147,144.45","35,900.69","38,345.07","74,245.76","221,390.21",,,
Pinnacles NP,10,CA,"26,674.60",0.31,0.00,"26,674.91",0.00,10.82,10.82,"26,685.73",,,
Redwood NP,10,CA,"77,715.18",17.24,14.04,"77,746.46","61,101.92",150.99,"61,252.91","138,999.37",,,
