Title,ParkType
Annual Park Ranking Report for Recreation Visits in: 2022,Park Type: National Park

ParkName,Rank,Value,PercentOfTotal
Great Smoky Mountains NP,1,"12,937,633",14.59%
Grand Canyon NP,2,"4,732,101",5.34%
Zion NP,3,"4,692,417",5.29%
Rocky Mountain NP,4,"4,300,424",4.85%
Acadia NP,5,"3,970,260",4.48%
Yosemite NP,6,"3,667,550",4.14%
Yellowstone NP,7,"3,290,242",3.71%
Joshua Tree NP,8,"3,058,294",3.45%
Cuyahoga Valley NP,9,"2,913,312",3.29%
Glacier NP,10,"2,908,458",3.28%
Indiana Dunes NP,11,"2,834,180",3.20%
Grand Teton NP,12,"2,806,223",3.17%
Hot Springs NP,13,"2,646,133",2.98%
Olympic NP,14,"2,432,972",2.74%
Bryce Canyon NP,15,"2,354,660",2.66%
Mount Rainier NP,16,"1,622,395",1.83%
Gateway Arch NP,17,"1,618,774",1.83%
New River Gorge NP & PRES,18,"1,593,523",1.80%
Hawaii Volcanoes NP,19,"1,580,961",1.78%
Arches NP,20,"1,460,652",1.65%
Shenandoah NP,21,"1,449,300",1.63%
Capitol Reef NP,22,"1,227,608",1.38%
Everglades NP,23,"1,155,193",1.30%
Sequoia NP,24,"1,153,198",1.30%
Death Valley NP,25,"1,128,862",1.27%
Haleakala NP,26,"1,087,616",1.23%
Badlands NP,27,"1,006,809",1.14%
Saguaro NP,28,"908,194",1.02%
Canyonlands NP,29,"779,147",0.88%
White Sands NP,30,"705,127",0.80%
Biscayne NP,31,"701,023",0.79%
Theodore Roosevelt NP,32,"668,679",0.75%
Mammoth Cave NP,33,"663,147",0.75%
Kings Canyon NP,34,"640,986",0.72%
Wind Cave NP,35,"607,418",0.69%
Glacier Bay NP & PRES,36,"545,758",0.62%
Crater Lake NP,37,"527,259",0.59%
Big Bend NP,38,"514,107",0.58%
Petrified Forest NP,39,"505,209",0.57%
Mesa Verde NP,40,"499,790",0.56%
Great Sand Dunes NP & PRES,41,"493,428",0.56%
Redwood NP,42,"458,400",0.52%
Lassen Volcanic NP,43,"446,291",0.50%
Denali NP & PRES,44,"427,562",0.48%
Carlsbad Caverns NP,45,"390,932",0.44%
Kenai Fjords NP,46,"389,943",0.44%
Channel Islands NP,47,"323,245",0.36%
Black Canyon of the Gunnison NP,48,"297,257",0.34%
Pinnacles NP,49,"275,023",0.31%
Voyageurs NP,50,"221,434",0.25%
Guadalupe Mountains NP,51,"219,987",0.25%
Congaree NP,52,"204,522",0.23%
Virgin Islands NP,53,"196,752",0.22%
Great Basin NP,54,"142,115",0.16%
Dry Tortugas NP,55,"78,488",0.09%
Wrangell-St. Elias NP & PRES,56,"65,236",0.07%
Katmai NP & PRES,57,"33,908",0.04%
North Cascades NP,58,"30,154",0.03%
Isle Royale NP,59,"25,454",0.03%
Lake Clark NP & PRES,60,"18,187",0.02%
Kobuk Valley NP,61,"16,925",0.02%
Gates of the Arctic NP & PRES,62,"9,457",0.01%
National Park of American Samoa,63,"1,887",0.00%

